Scenario,Max,Min,Mean,Std
scenario_1,34.75172424316406,-3.81223201751709,8.711992507570246,11.703238675370692
scenario_2,35.46299362182617,-3.506298780441284,11.652094927926859,13.331779184136622
scenario_3,26.690969467163086,-3.8598923683166504,6.198119862026044,8.742950550797717
scenario_4,9.928705215454102,-4.152224063873291,1.854256797581911,5.307321944482962
scenario_5,25.08380889892578,-4.954505236327368,8.51062497311841,11.564637687543081
scenario_6,32.31611633300781,-3.9402499198913574,9.926852186074418,12.024628315841436
scenario_7,41.82466125488281,-4.211494445800781,10.566062840322653,15.881708800742269
scenario_8,26.220966339111328,2.6869301795959473,14.373425046602884,5.643832299119782
scenario_9,33.3516845703125,-2.8492884635925293,8.984401060268283,12.63851063350557
scenario_10,34.52510070800781,-4.954505236327368,8.254447063031378,12.89908603496325
scenario_11,2.7011666297912598,-4.259678840637207,-1.9730783099574702,1.9287452057954775
scenario_12,25.119770050048828,-3.7743799686431885,2.76596806167948,7.720840501989031
scenario_13,6.7089643478393555,-3.960707902908325,-0.7128696807717182,3.1687997409480873
